patient_id,patient_name,aadhaar_number,age,blood_pressure,heart_rate,oxygen_saturation,blood_sugar,bmi,hemoglobin,platelets,doctor_notes
P-30149,Patient_149,6450-9975-9432,81,117,66,97.0,223,25.8,15.2,205182,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30150,Patient_150,6874-2553-2012,55,141,89,93.0,71,22.0,11.9,445135,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30151,Patient_151,9378-2881-7799,81,138,78,92.6,211,28.1,13.1,254601,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30152,Patient_152,5586-9622-9430,24,126,108,99.2,177,19.1,12.9,328735,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30153,Patient_153,7447-3345-1075,39,115,84,93.5,99,23.6,13.4,272002,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30154,Patient_154,6877-7785-5922,58,129,75,98.5,118,25.8,15.3,375461,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30155,Patient_155,9090-3330-5686,27,127,106,96.3,209,20.8,13.7,449644,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30156,Patient_156,2902-5670-8143,74,143,99,92.6,113,33.8,15.4,445929,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30157,Patient_157,3059-1140-2789,24,111,67,99.5,230,21.7,14.2,234146,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30158,Patient_158,1016-1464-5471,67,105,77,94.0,82,20.5,12.9,197997,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30159,Patient_159,2827-9711-6956,69,117,87,98.8,147,21.7,15.5,157170,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30160,Patient_160,1089-5815-3851,50,124,75,93.3,195,30.4,12.3,294375,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30161,Patient_161,3843-7543-6901,18,149,78,98.7,167,25.1,12.2,185187,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30162,Patient_162,1969-2094-7124,70,134,101,92.1,95,27.3,13.8,346106,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30163,Patient_163,8347-4195-2404,77,135,76,96.0,218,18.8,12.4,282965,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30164,Patient_164,7940-5290-4982,51,144,104,98.1,225,19.0,11.0,294825,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30165,Patient_165,6555-8954-5713,21,115,72,99.4,117,25.4,14.6,188090,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30166,Patient_166,4092-5159-7308,34,114,66,99.2,237,31.2,13.8,403478,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30167,Patient_167,8478-9476-5933,21,154,86,98.5,135,32.2,13.5,167509,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30168,Patient_168,5926-4969-3965,60,95,69,99.0,156,19.8,16.3,218653,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30169,Patient_169,5319-9975-8108,21,112,93,93.6,148,26.8,14.1,318001,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30170,Patient_170,4939-1044-2810,18,153,95,94.2,92,32.7,15.7,416186,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30171,Patient_171,5566-2909-7364,67,132,84,94.3,150,24.5,11.8,343646,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30172,Patient_172,3581-1691-1931,78,112,65,95.0,117,31.4,14.1,449345,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30173,Patient_173,8910-7382-4406,52,119,83,95.1,193,20.6,15.8,373354,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30174,Patient_174,9339-2032-2311,25,107,77,96.3,199,33.0,14.2,164016,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30175,Patient_175,9579-4121-2873,41,110,82,93.3,153,30.1,14.9,437166,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30176,Patient_176,7781-4748-1277,53,146,65,97.5,89,33.1,13.0,382034,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30177,Patient_177,2859-6929-7792,67,112,88,93.3,115,29.0,11.5,177938,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30178,Patient_178,5713-5675-2170,60,134,84,94.5,200,24.1,13.5,324750,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30179,Patient_179,9681-6308-3462,44,133,76,96.0,81,33.0,13.2,410710,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30180,Patient_180,1287-6953-5282,49,136,105,98.3,109,22.8,15.8,382320,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30181,Patient_181,2907-2161-1129,35,129,83,97.8,135,23.6,12.3,337877,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30182,Patient_182,7337-3363-9151,45,140,70,97.1,169,29.4,16.3,283058,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30183,Patient_183,6983-1143-9207,46,131,85,93.2,147,30.4,16.3,226478,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30184,Patient_184,8469-1244-1926,33,96,93,96.3,85,32.9,12.4,277101,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30185,Patient_185,4178-3176-6002,64,139,87,92.7,152,21.7,12.9,341996,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30186,Patient_186,1886-9532-4398,76,137,62,95.0,231,30.9,15.9,355380,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30187,Patient_187,9497-3654-8392,48,95,70,95.3,113,29.9,16.3,382200,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30188,Patient_188,2371-8135-1320,21,98,97,92.3,203,19.5,13.4,213745,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30189,Patient_189,5654-6300-7761,54,146,73,94.2,169,24.5,12.8,282283,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30190,Patient_190,7854-6505-7553,34,120,85,99.5,91,22.9,13.9,251489,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30191,Patient_191,5042-8498-7636,56,110,107,99.5,87,23.2,14.8,181819,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30192,Patient_192,8362-1011-1194,65,129,80,94.8,81,33.7,12.5,197779,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30193,Patient_193,3537-3842-3229,63,134,98,92.3,192,28.5,15.1,363493,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30194,Patient_194,4009-8984-3077,65,138,89,93.4,186,29.6,11.3,215584,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30195,Patient_195,8845-4867-5873,56,109,67,95.1,120,33.6,11.3,296245,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30196,Patient_196,9635-1297-6856,21,106,79,99.5,140,24.3,13.1,398815,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30197,Patient_197,2015-2384-9745,47,117,107,93.1,117,30.9,12.9,440180,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30198,Patient_198,3350-2269-2260,47,130,91,98.0,88,25.2,12.7,404957,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30199,Patient_199,8701-9376-5563,39,155,81,92.9,75,32.0,13.7,221356,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30200,Patient_200,7897-6672-6593,83,114,66,99.8,153,21.3,12.8,295364,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30201,Patient_201,7155-6543-8240,29,147,68,95.0,224,33.2,12.1,153052,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30202,Patient_202,5683-2881-9713,53,130,104,98.1,122,21.9,12.7,348910,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30203,Patient_203,4809-6807-5883,35,95,60,94.7,176,23.6,16.4,296692,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30204,Patient_204,8206-5155-5673,70,127,88,97.0,170,30.2,13.3,180461,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30205,Patient_205,2409-6197-8452,18,95,67,93.5,117,24.6,13.4,432894,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30206,Patient_206,9718-3172-1279,75,134,63,93.2,204,27.9,14.2,159472,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30207,Patient_207,4977-3669-8825,23,103,94,99.4,138,25.4,16.4,262036,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30208,Patient_208,4981-5769-6247,61,155,62,99.2,80,30.0,12.3,338674,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30209,Patient_209,5427-7135-6573,41,129,104,99.0,212,22.0,14.7,437667,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
